network,method,ratio,nodes_original,nodes_reduced,edges_original,edges_reduced,execution_time
CorporatePeople-mainA,CoCoNUT,0.1,1586,1427,11540,10087,1.6065688133239746
CorporatePeople-mainA,CoCoNUT,0.15,1586,1348,11540,9429,1.596992015838623
CorporatePeople-mainA,CoCoNUT,0.2,1586,1269,11540,8794,1.5678701400756836
CorporatePeople-mainA,CoCoNUT,0.25,1586,1190,11540,8102,1.5448217391967773
CorporatePeople-mainA,CoCoNUT,0.3,1586,1110,11540,7244,1.5688436031341553
CorporatePeople-mainA,CoCoNUT,0.35,1586,1031,11540,6648,1.509657621383667
CorporatePeople-mainA,CoCoNUT,0.4,1586,952,11540,6046,1.6204254627227783
CorporatePeople-mainA,CoCoNUT,0.45,1586,872,11540,5191,1.71685791015625
CorporatePeople-mainA,CoCoNUT,0.5,1586,793,11540,4323,1.582165241241455
CorporatePeople-mainA,CoCoNUT,0.55,1586,714,11540,3507,1.6533441543579102
CorporatePeople-mainA,CoCoNUT,0.6,1586,634,11540,2917,1.7329514026641846
CorporatePeople-mainA,CoCoNUT,0.65,1586,555,11540,2323,1.7333767414093018
CorporatePeople-mainA,CoCoNUT,0.7,1586,476,11540,1860,1.8323891162872314
CorporatePeople-mainA,CoCoNUT,0.75,1586,396,11540,1293,2.017482280731201
CorporatePeople-mainA,CoCoNUT,0.8,1586,317,11540,958,1.8979203701019287
CorporatePeople-mainA,CoCoNUT,0.85,1586,238,11540,543,2.029874324798584
CorporatePeople-mainA,CoCoNUT,0.9,1586,159,11540,325,2.052004337310791
CorporatePeople-mainA,CoCoNUT,0.95,1586,79,11540,123,2.1599833965301514
DrugsA,CoCoNUT,0.1,616,554,2012,1537,0.3669450283050537
DrugsA,CoCoNUT,0.15,616,524,2012,1380,0.34304285049438477
DrugsA,CoCoNUT,0.2,616,493,2012,1204,0.36205554008483887
DrugsA,CoCoNUT,0.25,616,462,2012,1035,0.32047152519226074
DrugsA,CoCoNUT,0.3,616,431,2012,882,0.338181734085083
DrugsA,CoCoNUT,0.35,616,400,2012,741,0.33457303047180176
DrugsA,CoCoNUT,0.4,616,370,2012,630,0.35620713233947754
DrugsA,CoCoNUT,0.45,616,339,2012,575,0.35306787490844727
DrugsA,CoCoNUT,0.5,616,308,2012,489,0.3597235679626465
DrugsA,CoCoNUT,0.55,616,277,2012,405,0.34119653701782227
DrugsA,CoCoNUT,0.6,616,246,2012,347,0.32889580726623535
DrugsA,CoCoNUT,0.65,616,216,2012,301,0.35832881927490234
DrugsA,CoCoNUT,0.7,616,185,2012,248,0.35556530952453613
DrugsA,CoCoNUT,0.75,616,154,2012,204,0.356626033782959
DrugsA,CoCoNUT,0.8,616,123,2012,164,0.35771775245666504
DrugsA,CoCoNUT,0.85,616,92,2012,111,0.3497614860534668
DrugsA,CoCoNUT,0.9,616,62,2012,63,0.34014177322387695
DrugsA,CoCoNUT,0.95,616,31,2012,30,0.36394190788269043
geom-main,CoCoNUT,0.1,3621,3259,9461,7927,8.5859694480896
geom-main,CoCoNUT,0.15,3621,3078,9461,7063,8.859150648117065
geom-main,CoCoNUT,0.2,3621,2897,9461,6013,8.60161018371582
geom-main,CoCoNUT,0.25,3621,2716,9461,5268,8.7577965259552
geom-main,CoCoNUT,0.3,3621,2535,9461,4572,24.287588119506836
geom-main,CoCoNUT,0.35,3621,2354,9461,3983,9.35901427268982
